requests,q_min,mean_actual_quality,median_actual_quality,quality_violation_rate,quality_fallback_count,mean_latency_ms,median_latency_ms,p95_latency_ms,max_latency_ms,sla_ms,sla_violation_rate,total_cost,mean_cost_per_request,peak_cloud_queue,peak_edge_queue,average_cloud_queue,average_edge_queue,model_selection_counts,node_selection_counts,cloud_ratio,edge_ratio,mean_routing_overhead_ms,strategy,workload,seed,trace_fingerprint
300,0.7,0.857208,0.858862,0.0,0,448.862784,449.085483,477.754751,479.71437,1200.0,0.0,1.23474,0.0041158,1.0,0.0,1.0,0.0,"{""model-a"": 300}","{""cloud"": 300}",1.0,0.0,0.078,capability_only,low_load,1,45be857b67ef5caf62a809fcf05092e1836465738838fbe1cf0b0a6a0fa19b59
300,0.7,0.628475,0.629775,0.786667,0,173.854166,173.940422,185.044643,185.803645,1200.0,0.0,0.185211,0.00061737,0.0,1.0,0.0,1.0,"{""model-c"": 300}","{""edge-1"": 300}",0.0,1.0,0.109,resource_only,low_load,1,45be857b67ef5caf62a809fcf05092e1836465738838fbe1cf0b0a6a0fa19b59
300,0.7,0.751922,0.712475,0.293333,0,269.629587,185.509197,473.196527,479.71437,1200.0,0.0,0.555489,0.00185163,1.0,1.0,0.23,0.77,"{""model-a"": 69, ""model-b"": 79, ""model-c"": 152}","{""cloud"": 69, ""edge-1"": 231}",0.23,0.77,0.124,joint_single_stage,low_load,1,45be857b67ef5caf62a809fcf05092e1836465738838fbe1cf0b0a6a0fa19b59
300,0.7,0.78721,0.751762,0.0,0,305.428015,295.350885,473.196527,479.71437,1200.0,0.0,0.679879,0.00226626,1.0,1.0,0.23,0.77,"{""model-a"": 69, ""model-b"": 167, ""model-c"": 64}","{""cloud"": 69, ""edge-1"": 231}",0.23,0.77,0.113507,hierarchical,low_load,1,45be857b67ef5caf62a809fcf05092e1836465738838fbe1cf0b0a6a0fa19b59
300,0.7,0.857134,0.85785,0.0,0,444.441803,448.522107,476.162228,479.811721,1200.0,0.0,1.17014,0.00390047,1.0,0.0,1.0,0.0,"{""model-a"": 278, ""model-b"": 22}","{""cloud"": 300}",1.0,0.0,0.078513,capability_only,low_load,2,4026415ac51728b2ea92d225eb8a30ad3f54a53f8669fc40d2b3673e85e3f6cf
300,0.7,0.635455,0.629775,0.723333,0,174.084087,174.682907,184.485252,185.841352,1200.0,0.0,0.182538,0.00060846,0.0,1.0,0.0,1.0,"{""model-c"": 300}","{""edge-1"": 300}",0.0,1.0,0.109,resource_only,low_load,2,4026415ac51728b2ea92d225eb8a30ad3f54a53f8669fc40d2b3673e85e3f6cf
300,0.7,0.765819,0.750075,0.0,0,282.465628,291.738882,448.980784,477.724818,1200.0,0.0,0.572206,0.00190735,1.0,1.0,0.133333,0.866667,"{""model-a"": 40, ""model-b"": 177, ""model-c"": 83}","{""cloud"": 40, ""edge-1"": 260}",0.133333,0.866667,0.124,joint_single_stage,low_load,2,4026415ac51728b2ea92d225eb8a30ad3f54a53f8669fc40d2b3673e85e3f6cf
300,0.7,0.776968,0.751762,0.0,0,316.370924,299.625401,448.980784,477.724818,1200.0,0.0,0.68828,0.00229427,1.0,1.0,0.133333,0.866667,"{""model-a"": 40, ""model-b"": 260}","{""cloud"": 40, ""edge-1"": 260}",0.133333,0.866667,0.115,hierarchical,low_load,2,4026415ac51728b2ea92d225eb8a30ad3f54a53f8669fc40d2b3673e85e3f6cf
300,0.7,0.862041,0.858862,0.0,0,450.32119,451.438542,476.499056,479.655194,1200.0,0.0,1.2253,0.00408433,1.0,0.0,1.0,0.0,"{""model-a"": 300}","{""cloud"": 300}",1.0,0.0,0.078,capability_only,low_load,3,3b928d7b6059344ed3d459257b92303e4df14d7abd0ecb6e5f22cae4a1b1ad09
300,0.7,0.636774,0.629775,0.716667,0,174.419037,174.851812,184.558285,185.780725,1200.0,0.0,0.183795,0.00061265,0.0,1.0,0.0,1.0,"{""model-c"": 300}","{""edge-1"": 300}",0.0,1.0,0.109,resource_only,low_load,3,3b928d7b6059344ed3d459257b92303e4df14d7abd0ecb6e5f22cae4a1b1ad09
300,0.7,0.787545,0.751762,0.0,0,301.661848,292.866535,469.580321,479.022918,1200.0,0.0,0.656133,0.00218711,1.0,1.0,0.256667,0.743333,"{""model-a"": 77, ""model-b"": 138, ""model-c"": 85}","{""cloud"": 77, ""edge-1"": 223}",0.256667,0.743333,0.124,joint_single_stage,low_load,3,3b928d7b6059344ed3d459257b92303e4df14d7abd0ecb6e5f22cae4a1b1ad09
300,0.7,0.798963,0.752775,0.0,0,336.424002,302.298374,469.580321,479.022918,1200.0,0.0,0.77493,0.0025831,1.0,1.0,0.256667,0.743333,"{""model-a"": 77, ""model-b"": 223}","{""cloud"": 77, ""edge-1"": 223}",0.256667,0.743333,0.115,hierarchical,low_load,3,3b928d7b6059344ed3d459257b92303e4df14d7abd0ecb6e5f22cae4a1b1ad09
300,0.7,0.853574,0.858862,0.0,0,438.195757,444.734119,476.710814,479.836946,1200.0,0.0,1.10829,0.0036943,1.0,0.0,1.0,0.0,"{""model-a"": 249, ""model-b"": 51}","{""cloud"": 300}",1.0,0.0,0.07919,capability_only,low_load,4,bde5aa1fed7e3849b5540c696011f87e2782c5fb76921237e5b93f26dce99da5
300,0.7,0.627314,0.611437,0.773333,0,174.24534,174.373184,185.002364,185.851122,1200.0,0.0,0.182355,0.00060785,0.0,1.0,0.0,1.0,"{""model-c"": 300}","{""edge-1"": 300}",0.0,1.0,0.109,resource_only,low_load,4,bde5aa1fed7e3849b5540c696011f87e2782c5fb76921237e5b93f26dce99da5
300,0.7,0.73312,0.731737,0.086667,0,258.005294,286.173479,313.484064,316.142935,1200.0,0.0,0.474444,0.00158148,0.0,1.0,0.0,1.0,"{""model-b"": 206, ""model-c"": 94}","{""edge-1"": 300}",0.0,1.0,0.124,joint_single_stage,low_load,4,bde5aa1fed7e3849b5540c696011f87e2782c5fb76921237e5b93f26dce99da5
300,0.7,0.752681,0.751762,0.0,0,296.400865,296.618334,314.699153,316.142935,1200.0,0.0,0.60785,0.00202617,0.0,1.0,0.0,1.0,"{""model-b"": 300}","{""edge-1"": 300}",0.0,1.0,0.115,hierarchical,low_load,4,bde5aa1fed7e3849b5540c696011f87e2782c5fb76921237e5b93f26dce99da5
