strategy,workload,run_count,requests_per_run,q_min,sla_ms,mean_actual_quality,std_actual_quality,median_actual_quality,std_median_actual_quality,quality_violation_rate,std_quality_violation_rate,quality_fallback_count,std_quality_fallback_count,mean_latency_ms,std_latency_ms,median_latency_ms,std_median_latency_ms,p95_latency_ms,std_p95_latency_ms,max_latency_ms,std_max_latency_ms,sla_violation_rate,std_sla_violation_rate,total_cost,std_total_cost,mean_cost_per_request,std_mean_cost_per_request,peak_cloud_queue,std_peak_cloud_queue,peak_edge_queue,std_peak_edge_queue,average_cloud_queue,std_average_cloud_queue,average_edge_queue,std_average_edge_queue,cloud_ratio,std_cloud_ratio,edge_ratio,std_edge_ratio,mean_routing_overhead_ms,std_routing_overhead_ms,model_selection_counts,node_selection_counts
capability_only,low_load,5,300,0.7,1200.0,0.857062,0.003158,0.85866,0.000453,0.0,0.0,0.0,0.0,444.265887,5.415579,447.727182,2.892022,476.508328,0.852976,479.761492,0.075009,0.0,0.0,1.177344,0.053059,0.003924,0.000177,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.078499,0.000515,"{""model-a"": 278.6, ""model-b"": 21.4, ""model-c"": 0.0}","{""cloud"": 300.0, ""edge-1"": 0.0}"
resource_only,low_load,5,300,0.7,1200.0,0.632022,0.004157,0.626107,0.008201,0.749333,0.030496,0.0,0.0,173.964311,0.465788,174.227541,0.628663,184.678575,0.328728,185.821897,0.029053,0.0,0.0,0.183337,0.001186,0.000611,4e-06,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.109,0.0,"{""model-a"": 0.0, ""model-b"": 0.0, ""model-c"": 300.0}","{""cloud"": 0.0, ""edge-1"": 300.0}"
joint_single_stage,low_load,5,300,0.7,1200.0,0.754816,0.022571,0.731705,0.019231,0.129333,0.14233,0.0,0.0,272.747757,19.930962,248.159535,57.704672,430.498803,66.455199,446.240068,72.730081,0.0,0.0,0.546431,0.076201,0.001821,0.000254,0.8,0.447214,1.0,0.0,0.151333,0.100902,0.848667,0.100902,0.151333,0.100902,0.848667,0.100902,0.124,0.0,"{""model-a"": 45.4, ""model-b"": 140.6, ""model-c"": 114.0}","{""cloud"": 45.4, ""edge-1"": 254.6}"
hierarchical,low_load,5,300,0.7,1200.0,0.78102,0.017663,0.756557,0.010166,0.0,0.0,0.0,0.0,315.237938,15.339865,298.434098,2.700905,434.837149,67.81147,446.240068,72.730081,0.0,0.0,0.696333,0.0623,0.002321,0.000208,0.8,0.447214,1.0,0.0,0.184,0.119662,0.816,0.119662,0.184,0.119662,0.816,0.119662,0.114487,0.000718,"{""model-a"": 55.2, ""model-b"": 222.8, ""model-c"": 22.0}","{""cloud"": 55.2, ""edge-1"": 244.8}"
capability_only,medium_load,5,300,0.7,1200.0,0.857372,0.00363,0.858255,0.000554,0.0,0.0,0.0,0.0,4041.058438,38.580848,4058.735545,44.681362,6987.305309,52.38187,7651.873464,82.931585,0.924667,0.005055,1.186994,0.045023,0.003957,0.00015,108.995518,0.89078,0.0,0.0,54.975712,0.686828,0.0,0.0,1.0,0.0,0.0,0.0,0.078523,0.000493,"{""model-a"": 277.6, ""model-b"": 22.4, ""model-c"": 0.0}","{""cloud"": 300.0, ""edge-1"": 0.0}"
resource_only,medium_load,5,300,0.7,1200.0,0.630502,0.00395,0.618772,0.010044,0.765333,0.035087,0.0,0.0,186.649113,1.065848,176.890153,0.586832,243.909255,0.782484,250.925911,0.504937,0.0,0.0,0.185015,0.001228,0.000617,4e-06,0.0,0.0,1.147843,0.021515,0.0,0.0,1.010253,0.001172,0.0,0.0,1.0,0.0,0.109,0.0,"{""model-a"": 0.0, ""model-b"": 0.0, ""model-c"": 300.0}","{""cloud"": 0.0, ""edge-1"": 300.0}"
joint_single_stage,medium_load,5,300,0.7,1200.0,0.758,0.019067,0.752012,0.015255,0.125333,0.106994,0.0,0.0,285.646782,17.916402,287.360718,7.740284,450.652775,41.657454,510.685098,44.364715,0.0,0.0,0.563998,0.065308,0.00188,0.000218,1.299187,0.433479,1.123835,0.01186,0.232869,0.124594,0.84395,0.082319,0.163333,0.082327,0.836667,0.082327,0.124,0.0,"{""model-a"": 49.0, ""model-b"": 143.0, ""model-c"": 108.0}","{""cloud"": 49.0, ""edge-1"": 251.0}"
hierarchical,medium_load,5,300,0.7,1200.0,0.783701,0.014961,0.765742,0.012305,0.0,0.0,0.0,0.0,325.538284,15.168158,302.651662,3.922419,459.004517,48.000358,525.837214,43.948119,0.0,0.0,0.706697,0.055676,0.002356,0.000186,1.399698,0.404026,1.114607,0.019495,0.283912,0.150542,0.811273,0.098671,0.195333,0.098223,0.804667,0.098223,0.114487,0.000784,"{""model-a"": 58.6, ""model-b"": 219.4, ""model-c"": 22.0}","{""cloud"": 58.6, ""edge-1"": 241.4}"
capability_only,high_load,5,300,0.7,1200.0,0.854072,0.004097,0.85785,0.0,0.0,0.0,0.0,0.0,6897.380794,55.953453,6883.442892,85.788997,12394.330953,203.977213,13644.869604,67.0313,0.958667,0.001826,1.165822,0.045195,0.003886,0.000151,202.791091,1.417475,0.0,0.0,101.839187,0.84938,0.0,0.0,1.0,0.0,0.0,0.0,0.078597,0.000555,"{""model-a"": 274.4, ""model-b"": 25.6, ""model-c"": 0.0}","{""cloud"": 300.0, ""edge-1"": 0.0}"
resource_only,high_load,5,300,0.7,1200.0,0.675813,0.002309,0.71045,0.0,0.466,0.014415,0.0,0.0,886.737968,84.618968,907.481963,108.628417,1362.260581,122.040341,1493.790297,128.503147,0.208,0.129241,0.337265,0.004185,0.001124,1.4e-05,13.267408,1.661687,18.748584,2.263842,7.105778,0.922595,9.575889,1.418786,0.362666,0.001491,0.637334,0.001491,0.109,0.0,"{""model-a"": 0.0, ""model-b"": 108.8, ""model-c"": 191.2}","{""cloud"": 108.8, ""edge-1"": 191.2}"
